# 정규표현\t분석결과
# 사이는 '\t'로 구분
# "# "으로 시작하는 라인은 주석처리 됨
일화	일/NR+화/NNB
씀벅씀벅	씀벅씀벅/MAG
씀벅씀벅만	씀벅씀벅/MAG+만/JX
썸벅썸벅은	썸벅썸벅/MAG+은/JX
썸벅썸벅을	썸벅썸벅/MAG+을/JKO
씀벅씀벅입니다	씀벅씀벅/MAG+입/VV+니다/EC
할지더군요	하/XSV+ㄹ/ETM+지/EC+더군요/EC
아닐까	아니/VCN+ㄹ까/EC
이룹니다	이루/VV+ㅂ니다/EC
깜깜무소식을	깜깜/MAG+무/NNG+소식/NNG+을/JKO
거볍고	거볍/VA+고/EC
로켓라케트	로켓/NNG+라케트/NNG
부담스럽습니다	부담/NNG+스럽/XSA+습니다/EC
부담스러웠습니다	부담/NNG+스럽/XSA+었/EP+습니다/EC
서러운의	서럽/VA+은/ETM+의/JKG
맞혔을을	맞히/VV+었/EP+을/ETM+을/JKO
명뉸동	명뉸동/NNP
샛하얗다	샛하얗/VA+다/EC
샛하얗다는	샛하얗/VA+다는/ETM
시꺼멓다	시꺼멓/VA+다/EC
싯누렇다	싯누렇/VA+다/EC
싯허옇다	싯허옇/VA+다/EC
스노드롭	스노/NNG+드롭/NNG
씁슬하다	씁슬/XR+하/XSV+다/EC
에스파니아가	에스파니아/NNP+가/JKS
올껍니다라고	오/VV+ㄹ/ETM+꺼/NNB+ㅂ니다/EC+이/VCP+라고/EC
올껍니다가	오/VV+ㄹ/ETM+꺼/NNB+ㅂ니다/EC+가/JKS
으름짱	으름짱/NNG
으르다의	으/NNG+르/NNG+다/NNG+의/JKG
몸짱	몸/NNG+짱/MAG
얼굴짱	얼굴/NNG+짱/MAG
맛짱	맛/NNG+짱/MAG
아닐까요	아니/VCN+ㄹ까요/EC
나을려니라고	낫/VA+을/ETM+려니/EC+이/VCP+라고/EC
나을려니가	낫/VA+을/ETM+려니/EC+가/JKS
나으니로	나/VV+으니/EC+로/JKB
나으려니가	나/VV+으려니/EC+가/JKS
나으려니는	나/VV+으려니/EC+는/JX
됬다가	되/XSV+ㅆ/EP+다가/EC
당첨되	당첨/NNG+되/XSV
때밀이	때/NNG+밀이/NNG
때밀이란	때/NNG+밀이/NNG+란/JX
때밀이가	때/NNG+밀이/NNG+가/JKS
때밀이를	때/NNG+밀이/NNG+를/JKO
때밀이라는	때/NNG+밀이/NNG+이/VCP+라는/ETM
꺼린다면	꺼리/VV+ㄴ다면/EC
못한다이렇게	못하/VX+ㄴ다/EC+이렇/VA+게/EC
춘추좌씨전	춘추좌씨전/NNP
반겨주던을	반기/VV+어/EF+주/VX+던/EF+을/ETM
주던으로	주/VX+던/ETM+으로/JKB
본용언	본/NNG+용언/NNG
본용언에	본/NNG+용언/NNG+에/JKB
넋받이	넋/NNG+받이/NNG
파생어에서	파생어/NNG+에서/JKB
